날짜,월,사고수,날씨
1,1,62,
2,1,96,
3,1,102,
4,1,100,"박무
연무"
5,1,95,"박무
연무"
6,1,52,
7,1,88,연무
8,1,111,
9,1,99,채운
10,1,100,연무
11,1,112,연무
12,1,94,연무
13,1,71,연무
14,1,101,"박무
연무"
15,1,95,"눈
박무
연무"
16,1,96,눈
17,1,103,눈
18,1,103,연무
19,1,88,연무
20,1,92,연무
21,1,92,"눈
연무"
22,1,104,연무
23,1,98,"박무
연무"
24,1,108,
25,1,128,
26,1,99,
27,1,65,연무
28,1,113,"비
연무"
29,1,103,
30,1,113,연무
31,1,100,연무
1,2,111,눈
2,2,69,"비
연무"
3,2,70,"비
진눈깨비
안개
박무
연무"
4,2,47,"박무
연무"
5,2,38,연무
6,2,48,"박무
연무"
7,2,90,"비
눈
진눈깨비
박무
연무"
8,2,88,
9,2,68,
10,2,63,
11,2,82,
12,2,94,"눈
연무"
13,2,103,
14,2,119,
15,2,123,"눈
박무"
16,2,102,"눈
연무"
17,2,111,연무
18,2,98,햇무리
19,2,79,"눈
진눈깨비
박무"
20,2,88,"눈
박무
연무"
21,2,108,연무
22,2,114,연무
23,2,114,연무
24,2,74,연무
25,2,104,"박무
연무"
26,2,96,
27,2,78,연무
28,2,103,연무
1,3,81,연무
2,3,80,연무
3,3,66,연무
4,3,77,연무
5,3,76,"박무
연무"
6,3,95,연무
7,3,111,연무
8,3,123,
9,3,116,
10,3,70,
11,3,97,"비
박무
연무"
12,3,104,"비
박무
연무"
13,3,122,눈
14,3,105,"비
연무"
15,3,139,"비
소나기
진눈깨비
싸락우박
박무
연무"
16,3,104,"박무
연무"
17,3,80,"박무
연무"
18,3,97,햇무리
19,3,96,"박무
연무"
20,3,133,"비
박무
연무"
21,3,106,"비
안개
박무
연무"
22,3,97,
23,3,128,"비
소나기
눈
진눈깨비
소낙눈
싸락우박"
24,3,98,
25,3,92,연무
26,3,101,"박무
연무"
27,3,82,"박무
연무"
28,3,104,"박무
연무"
29,3,126,
30,3,122,"비
안개비
소나기
싸락우박
박무
연무"
31,3,71,비
1,4,118,
2,4,125,
3,4,108,
4,4,119,
5,4,121,"비
안개비
박무
연무"
6,4,107,"비
소나기"
7,4,104,"박무
연무
햇무리"
8,4,105,
9,4,116,"비
박무"
10,4,130,"비
안개비
박무"
11,4,114,"박무
햇무리"
12,4,109,"박무
연무"
13,4,136,"연무
햇무리"
14,4,74,"비
안개비
박무
연무"
15,4,113,
16,4,115,햇무리
17,4,108,
18,4,91,"안개비
박무
연무"
19,4,132,박무
20,4,96,"비
안개비
박무
연무"
21,4,88,"안개비
박무
연무"
22,4,106,"박무
연무"
23,4,98,"비
연무"
24,4,114,"비
박무
연무"
25,4,119,"비
안개비
박무
연무"
26,4,129,"비
안개비
박무"
27,4,104,햇무리
28,4,80,비
29,4,92,햇무리
30,4,112,햇무리
1,5,94,연무
2,5,131,
3,5,125,연무
4,5,106,연무
5,5,94,연무
6,5,87,비
7,5,119,
8,5,110,연무
9,5,107,연무
10,5,136,연무
11,5,126,연무
12,5,93,"연무
햇무리"
13,5,105,"비
연무
햇무리"
14,5,115,
15,5,97,연무
16,5,139,연무
17,5,111,"연무
햇무리"
18,5,117,"비
연무"
19,5,106,"비
박무"
20,5,97,"비
박무"
21,5,114,연무
22,5,115,연무
23,5,121,연무
24,5,137,연무
25,5,108,연무
26,5,74,
27,5,106,"비
안개비
박무"
28,5,129,
29,5,114,
30,5,116,"비
햇무리"
31,5,148,
1,6,112,"박무
연무"
2,6,83,
3,6,102,
4,6,118,박무
5,6,134,"박무
연무
채운"
6,6,105,"비
박무
연무"
7,6,126,"비
소나기
박무"
8,6,101,햇무리
9,6,74,"비
소나기
연무"
10,6,114,"비
박무"
11,6,104,
12,6,94,
13,6,90,
14,6,118,연무
15,6,142,소나기
16,6,91,
17,6,117,"비
박무"
18,6,118,"비
소나기
박무
연무"
19,6,118,"비
안개비
박무"
20,6,108,박무
21,6,117,"비
박무
연무"
22,6,121,
23,6,84,
24,6,114,
25,6,140,연무
26,6,102,비
27,6,116,"비
박무
연무"
28,6,138,"비
안개비
박무
연무"
29,6,122,"비
박무
연무"
30,6,67,"비
박무
연무"
1,7,112,"박무
연무"
2,7,98,"박무
연무"
3,7,110,"박무
연무"
4,7,122,"박무
연무"
5,7,116,"소나기
연무"
6,7,122,
7,7,80,
8,7,123,
9,7,115,
10,7,123,"비
박무"
11,7,116,"비
안개비
박무"
12,7,126,
13,7,93,"비
박무
연무"
14,7,75,"박무
연무"
15,7,97,"비
소나기
박무
연무"
16,7,98,"소나기
박무
연무"
17,7,110,"소나기
박무
연무"
18,7,89,"박무
연무"
19,7,120,"소나기
박무
연무"
20,7,95,비
21,7,80,"비
박무"
22,7,130,"안개비
박무
연무"
23,7,105,박무
24,7,123,"비
안개비
박무"
25,7,121,"비
안개비
박무"
26,7,107,"비
안개비
소나기
박무"
27,7,110,"비
안개비
박무"
28,7,72,"비
소나기
박무"
29,7,98,비
30,7,102,소나기
31,7,123,"비
소나기
박무"
1,8,109,"비
소나기
박무"
2,8,118,박무
3,8,90,"소나기
박무"
4,8,93,"소나기
박무"
5,8,102,"박무
연무"
6,8,104,
7,8,104,"비
박무
연무"
8,8,115,"소나기
박무
연무"
9,8,127,박무
10,8,110,"햇무리
채운"
11,8,91,"비
박무
햇무리"
12,8,114,"비
박무"
13,8,108,"소나기
박무"
14,8,137,박무
15,8,86,"비
박무"
16,8,117,비
17,8,118,"비
박무"
18,8,71,
19,8,96,
20,8,100,
21,8,133,"비
박무
연무"
22,8,130,"박무
연무"
23,8,123,박무
24,8,136,
25,8,86,
26,8,116,
27,8,114,"비
박무"
28,8,104,
29,8,123,"비
소나기
박무"
30,8,131,"비
소나기"
31,8,141,
1,9,85,
2,9,127,
3,9,124,"비
햇무리
채운"
4,9,106,"비
소나기
박무"
5,9,116,"비
소나기
박무
무지개"
6,9,134,비
7,9,90,"비
박무"
8,9,83,"비
박무
연무"
9,9,135,"비
박무
연무"
10,9,168,"비
소나기
박무"
11,9,146,"비
안개비
박무"
12,9,80,"비
박무"
13,9,58,비
14,9,69,"비
안개비
박무"
15,9,74,박무
16,9,94,
17,9,109,
18,9,119,
19,9,108,
20,9,126,
21,9,117,
22,9,97,비
23,9,113,
24,9,118,
25,9,117,
26,9,110,
27,9,127,
28,9,128,
29,9,102,"박무
연무"
30,9,133,"박무
연무"
1,10,111,"박무
연무
햇무리"
2,10,142,"비
박무"
3,10,111,비
4,10,129,"박무
연무"
5,10,111,"비
박무
연무"
6,10,88,
7,10,124,"비
박무
달코로나"
8,10,138,박무
9,10,98,
10,10,108,
11,10,129,"박무
연무"
12,10,126,
13,10,82,달코로나
14,10,125,연무
15,10,142,
16,10,107,
17,10,128,
18,10,144,
19,10,123,박무
20,10,81,"박무
연무"
21,10,110,"박무
연무"
22,10,132,연무
23,10,99,
24,10,130,
