날짜,월,사고수,날씨
1,1,7,
2,1,16,
3,1,11,"박무
연무"
4,1,15,"박무
연무"
5,1,5,"박무
연무"
6,1,18,비
7,1,10,"비
무지개"
8,1,13,비
9,1,14,
10,1,9,
11,1,9,
12,1,9,비
13,1,14,비
14,1,16,"비
박무"
15,1,15,비
16,1,7,
17,1,16,
18,1,13,
19,1,8,"비
연무"
20,1,7,연무
21,1,10,
22,1,16,"비
박무"
23,1,17,"안개비
박무"
24,1,9,"박무
연무"
25,1,4,비
26,1,8,비
27,1,8,"비
박무"
28,1,9,비
29,1,5,소나기
30,1,15,"비
소나기"
31,1,16,소나기
1,2,4,연무
2,2,11,연무
3,2,8,비
4,2,14,
5,2,5,"비
진눈깨비"
6,2,11,
7,2,5,연무
8,2,10,"비
연무"
9,2,1,"소나기
연무"
10,2,12,"박무
연무"
11,2,14,"비
박무
연무"
12,2,19,"비
박무"
13,2,8,
14,2,8,
15,2,9,"비
박무"
16,2,9,"비
진눈깨비
소낙눈
소낙성진눈깨비
싸락눈
박무"
17,2,11,"소낙눈
싸락우박
박무"
18,2,8,소낙눈
19,2,7,
20,2,12,
21,2,14,"비
무지개"
22,2,12,"비
연무
황사"
23,2,8,
24,2,15,
25,2,9,"비
박무"
26,2,11,"비
박무"
27,2,12,
28,2,6,비
29,2,9,"비
박무"
1,3,4,"비
박무"
2,3,6,비
3,3,8,"비
박무"
4,3,8,박무
5,3,9,
6,3,9,
7,3,7,"비
박무"
8,3,5,
9,3,15,"비
박무
달무리"
10,3,6,"비
안개
박무"
11,3,17,
12,3,16,
13,3,11,
14,3,11,
15,3,8,연무
16,3,17,햇무리
17,3,14,
18,3,10,"박무
연무"
19,3,11,연무
20,3,11,
21,3,9,
22,3,5,"비
박무"
23,3,11,
24,3,6,
25,3,18,"비
햇무리"
26,3,6,"비
박무"
27,3,4,"비
박무"
28,3,11,비
29,3,8,햇무리
30,3,9,
31,3,15,비
1,4,9,비
2,4,12,
3,4,7,
4,4,13,연무
5,4,10,
6,4,4,
7,4,8,
8,4,7,박무
9,4,9,
10,4,3,
11,4,5,"비
박무"
12,4,11,"비
박무"
13,4,8,
14,4,14,햇무리
15,4,11,
16,4,18,
17,4,9,"비
박무"
18,4,8,박무
19,4,5,"비
박무"
20,4,11,"비
박무"
21,4,7,비
22,4,7,
23,4,5,
24,4,12,
25,4,10,박무
26,4,7,"박무
햇무리"
27,4,8,
28,4,5,
29,4,10,
30,4,16,
1,5,7,박무
2,5,17,"비
박무"
3,5,6,"비
안개
박무"
4,5,13,"안개비
안개
박무"
5,5,11,박무
6,5,12,박무
7,5,16,
8,5,16,비
9,5,3,"비
무지개"
10,5,6,박무
11,5,9,"박무
연무"
12,5,6,"박무
연무"
13,5,16,
14,5,12,
15,5,8,"비
안개
박무"
16,5,2,"비
안개
박무"
17,5,6,"안개
박무"
18,5,15,"비
박무"
19,5,10,
20,5,15,
21,5,11,햇무리
22,5,12,
23,5,11,
24,5,13,박무
25,5,12,"비
안개
박무"
26,5,7,"비
박무"
27,5,12,박무
28,5,11,박무
29,5,17,"박무
햇무리"
30,5,4,"비
박무"
31,5,9,"비
박무"
1,6,6,"비
안개
박무"
2,6,13,박무
3,6,5,"비
박무"
4,6,9,"안개
박무
햇무리"
5,6,5,"안개
박무
햇무리"
6,6,8,"박무
햇무리"
7,6,12,박무
8,6,13,
9,6,9,
10,6,14,비
11,6,14,"비
안개
박무"
12,6,16,"비
안개
박무"
13,6,3,"비
박무"
14,6,6,"비
박무"
15,6,10,박무
16,6,11,박무
17,6,12,"비
박무"
18,6,14,"비
안개비
소나기
박무"
19,6,7,"비
안개비
박무"
20,6,14,
21,6,9,
22,6,25,박무
23,6,6,"박무
햇무리"
24,6,12,"비
박무"
25,6,17,"비
박무"
26,6,13,박무
27,6,15,"비
박무"
28,6,14,박무
29,6,11,"비
안개
박무"
30,6,14,"비
박무"
1,7,8,
2,7,10,햇무리
3,7,7,"비
박무"
4,7,14,"비
안개비
박무"
5,7,9,박무
6,7,10,"비
박무"
7,7,10,"비
소나기
안개
박무"
8,7,19,"안개
박무"
9,7,18,"비
박무"
10,7,10,"비
소나기
박무"
11,7,12,"비
박무"
12,7,5,"비
박무"
13,7,15,비
14,7,22,"비
박무"
15,7,17,비
16,7,17,"비
박무"
17,7,13,
18,7,12,비
19,7,12,비
20,7,7,"비
박무
무지개"
21,7,11,"비
박무"
22,7,17,"비
박무"
23,7,11,"비
박무"
24,7,6,"비
박무"
25,7,10,"비
박무"
26,7,8,
27,7,12,"비
박무"
28,7,17,비
29,7,12,비
30,7,12,
31,7,7,박무
1,8,11,
2,8,14,
3,8,7,박무
4,8,19,박무
5,8,19,"비
소나기
박무"
6,8,13,비
7,8,10,"비
연무"
8,8,13,
9,8,16,
10,8,9,"비
무지개"
11,8,19,"비
무지개"
12,8,19,비
13,8,14,
14,8,9,
15,8,14,
16,8,4,
17,8,11,
18,8,20,
19,8,7,박무
20,8,15,
21,8,17,박무
22,8,18,"비
소나기
박무"
23,8,11,박무
24,8,20,박무
25,8,7,"비
소나기
박무
무지개"
26,8,2,"비
소나기
박무"
27,8,18,비
28,8,8,비
29,8,6,비
30,8,8,
31,8,8,"비
박무"
1,9,6,비
2,9,8,"비
안개
박무
폭풍"
3,9,16,"비
박무"
4,9,12,
5,9,7,비
6,9,7,"비
박무"
7,9,9,"비
박무"
8,9,11,박무
9,9,13,비
10,9,13,비
11,9,12,"비
박무"
12,9,11,
13,9,12,"비
박무"
14,9,14,
15,9,15,
16,9,14,"비
박무"
17,9,12,"비
박무"
18,9,9,"비
박무"
19,9,12,
20,9,12,
21,9,13,
22,9,15,
23,9,13,비
24,9,11,비
25,9,20,비
26,9,8,
27,9,6,비
28,9,18,
29,9,16,
30,9,7,
1,10,10,
2,10,16,
3,10,12,비
4,10,9,비
5,10,15,
6,10,11,
7,10,17,
8,10,15,
9,10,17,
10,10,8,
11,10,12,
12,10,14,비
13,10,17,
14,10,18,
15,10,9,비
16,10,17,비
17,10,12,
18,10,12,
19,10,10,
20,10,12,
21,10,21,"비
박무"
22,10,13,"비
박무
연무
황사"
23,10,17,
24,10,14,
25,10,10,
26,10,12,
27,10,9,
28,10,6,박무
29,10,8,
30,10,9,
31,10,19,
1,11,15,비
2,11,4,"비
박무
황사"
3,11,12,
4,11,13,
5,11,12,비
6,11,10,"비
박무"
7,11,10,박무
8,11,9,
9,11,15,
10,11,15,
11,11,22,
12,11,7,
13,11,13,
14,11,16,박무
15,11,7,비
16,11,18,"비
박무"
17,11,11,
18,11,11,비
19,11,13,"비
박무"
20,11,15,비
21,11,10,
22,11,5,"비
박무"
23,11,12,
24,11,14,비
25,11,18,
26,11,14,"비
연무"
27,11,9,"비
연무"
28,11,7,
29,11,12,비
30,11,14,비
1,12,8,
2,12,9,
3,12,9,
4,12,13,
5,12,11,
6,12,6,
7,12,15,연무
8,12,15,연무
9,12,11,
10,12,6,
11,12,10,비
12,12,9,연무
13,12,12,"비
연무"
14,12,10,"비
눈
진눈깨비
싸락눈"
15,12,12,진눈깨비
16,12,13,"비
진눈깨비
소낙눈
싸락눈
무지개"
17,12,16,비
18,12,9,비
19,12,6,
20,12,7,비
21,12,5,비
22,12,7,
23,12,12,비
24,12,6,"비
연무"
25,12,3,
26,12,8,
27,12,7,"비
박무"
28,12,4,달무리
29,12,9,"비
박무
달무리"
30,12,16,"비
눈
진눈깨비
소낙눈
박무"
31,12,7,"소낙눈
박무"
