날짜,월,사고수,날씨
1,1,53,1
2,1,95,
3,1,79,
4,1,78,
5,1,68,
6,1,113, 3
7,1,123,2
8,1,93, 3
9,1,103,
10,1,90,
11,1,84,
12,1,65,
13,1,96,
14,1,107,
15,1,108,
16,1,98,
17,1,92,
18,1,98,
19,1,82, 3
20,1,110,
21,1,136,
22,1,125,
23,1,106,
24,1,60,
25,1,66,
26,1,49,
27,1,66,2
28,1,78,2
29,1,85,
30,1,89,
31,1,93,2
1,2,76,
2,2,52,
3,2,115,1
4,2,104,1
5,2,128,
6,2,122,
7,2,159,1
8,2,106,1
9,2,86,1
10,2,100,1
11,2,114,
12,2,100,2
13,2,109,
14,2,97,
15,2,91,2
16,2,98, 3
17,2,114,1
18,2,166,
19,2,145,
20,2,156,
21,2,115,2
22,2,90, 3
23,2,69,
24,2,104,
25,2,80,2
26,2,83,2
27,2,64,
28,2,82,2
29,2,74,2
1,3,48,2
2,3,69,2
3,3,72,
4,3,66, 3
5,3,77,
6,3,88,
7,3,65,
8,3,55,
9,3,87,
10,3,92,2
11,3,89,
12,3,87,
13,3,100,2
14,3,73,
15,3,48,
16,3,92,
17,3,92,
18,3,87,
19,3,77,2
20,3,100,
21,3,92,
22,3,66,
23,3,96,
24,3,94,
25,3,95,
26,3,96,2
27,3,109,2
28,3,87,
29,3,69,
30,3,95,
31,3,98,
1,4,81,
2,4,105,
3,4,98,
4,4,80,
5,4,65,
6,4,94,
7,4,87,
8,4,94,
9,4,113,
10,4,85,
11,4,83,
12,4,61,
13,4,106,
14,4,101,
15,4,84,
16,4,89,
17,4,84,2
18,4,77,
19,4,65,2
20,4,91,2
21,4,81,
22,4,93, 3
23,4,102,
24,4,110,
25,4,109,
26,4,74,
27,4,112,
28,4,102,
29,4,122,
30,4,76,
1,5,79,
2,5,85,2
3,5,65,2
4,5,110,
5,5,61,
6,5,130,
7,5,122,
8,5,161,2
9,5,103,2
10,5,69,2
11,5,124,2
12,5,90,2
13,5,102,
14,5,113,
15,5,122,2
16,5,87,2
17,5,89,2
18,5,119,2
19,5,85,2
20,5,111,2
21,5,112,
22,5,115,2
23,5,96,2
24,5,73,2
25,5,113,
26,5,92,2
27,5,98,
28,5,99,2
29,5,126,
30,5,107,
31,5,81,2
1,6,119,2
2,6,87,2
3,6,109,
4,6,106,2
5,6,119,
6,6,88,
7,6,79,
8,6,123,
9,6,115,
10,6,141,2
11,6,100,2
12,6,117,
13,6,111,2
14,6,78,2
15,6,112,
16,6,119,
17,6,94,
18,6,116,
19,6,137,2
20,6,103,
21,6,71,
22,6,95,
23,6,136,2
24,6,116,2
25,6,112,2
26,6,114,2
27,6,103,2
28,6,75,
29,6,98,2
30,6,96,2
1,7,85,2
2,7,96,
3,7,129,2
4,7,107,2
5,7,77,
6,7,84,
7,7,92,2
8,7,99,
9,7,96,
10,7,124,2
11,7,114,
12,7,102,2
13,7,98,2
14,7,123,2
15,7,114,
16,7,102,
17,7,123,2
18,7,102,
19,7,79,2
20,7,102,2
21,7,104,2
22,7,91,2
23,7,130,2
24,7,94,2
25,7,106,2
26,7,71,2
27,7,86,2
28,7,90,2
29,7,124,2
30,7,100,2
31,7,118,2
1,8,87,2
2,8,74,2
3,8,80,2
4,8,106,2
5,8,107,2
6,8,101,2
7,8,117,2
8,8,98,2
9,8,71,2
10,8,82,2
11,8,102,2
12,8,93,
13,8,103,
14,8,122,2
15,8,87,2
16,8,96,
17,8,87,
18,8,104,
19,8,105,
20,8,94,
21,8,109,2
22,8,80,2
23,8,73,
24,8,81,
25,8,124,
26,8,91,2
27,8,91,2
28,8,102,2
29,8,92,2
30,8,64,2
31,8,103,
1,9,74,2
2,9,84,2
3,9,88,2
4,9,96,
5,9,96,
6,9,57,2
7,9,98,2
8,9,95,2
9,9,87,2
10,9,91,2
11,9,123,2
12,9,83,2
13,9,80,
14,9,103,
15,9,83,
16,9,87,2
17,9,105,
18,9,129,
19,9,105,2
20,9,78,
21,9,106,
22,9,142,
23,9,109,
24,9,111,
25,9,128,
26,9,119,
27,9,87,
28,9,132,
29,9,126,
30,9,89,
1,10,39,
2,10,53,2
3,10,46,2
4,10,50,2
5,10,102,
6,10,98,
7,10,106,
8,10,133,
9,10,100,
10,10,92,
11,10,61,
12,10,116,
13,10,101,
14,10,101,
15,10,116,
16,10,113,
17,10,142,
18,10,72,
19,10,116,
20,10,120,
21,10,90,
22,10,103,2
23,10,133,
24,10,124,
25,10,84,
26,10,107,
27,10,120,
28,10,119,
29,10,119,
30,10,127,
31,10,119,
1,11,66,2
2,11,121,2
3,11,115,2
4,11,105,
5,11,108,
6,11,96,
7,11,109,2
8,11,89,
9,11,91,
10,11,94,
11,11,118,
12,11,130,
13,11,106,
14,11,123,
15,11,71,
16,11,90,
17,11,96,2
18,11,120,2
19,11,114,2
20,11,126,2
21,11,95,2
22,11,63,2
23,11,87,
24,11,118,
25,11,79,
26,11,90,
27,11,125,2
28,11,91,
29,11,64,
30,11,107,
1,12,92,
2,12,74,
3,12,78,
4,12,115,
5,12,76,
6,12,61,
7,12,82,
8,12,105,
9,12,73,
10,12,85, 3
11,12,100,
12,12,64,
13,12,45, 3
14,12,74,
15,12,88,
16,12,89,
17,12,101,1
18,12,142,1
19,12,114,
20,12,54,
21,12,108,
22,12,102,
23,12,108,2
24,12,95,
25,12,63,
26,12,52,
27,12,40,2
28,12,81,2
29,12,71,1
30,12,89,
31,12,98,1
